Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
57016829,The Great Mental Models Volume 3: Systems and Mathematics,Rhiannon Beaubien,"Beaubien, Rhiannon",Rosie Leizrowice,"=""1999449061""","=""9781999449063""",0,4.24,Latticework Publishing Inc.,Hardcover,373,2021,,,2023/05/27,to-read,to-read (#440),to-read,,,,0,0
52200318,"The Great Mental Models Volume 2: Physics, Chemistry and Biology",Shane Parrish,"Parrish, Shane",Rhiannon Beaubien,"=""1999449037""","=""9781999449032""",0,4.19,Latticework Publishing Inc.,Hardcover,397,2019,2019,,2023/05/27,to-read,to-read (#439),to-read,,,,0,0
44245196,The Great Mental Models: General Thinking Concepts,Shane Parrish,"Parrish, Shane",Rhiannon Beaubien,"=""""","=""""",0,4.08,Latticework Publishing Inc.,Audiobook,216,2019,2018,,2023/05/27,to-read,to-read (#438),to-read,,,,0,0
41795733,Range: Why Generalists Triumph in a Specialized World,David   Epstein,"Epstein, David",,"=""0735214484""","=""9780735214484""",4,4.14,Riverhead Books,Hardcover,352,2019,2019,2023/05/26,2021/10/22,,,read,,,,1,0
89158,Expert Political Judgment: How Good Is It? How Can We Know?,Philip E. Tetlock,"Tetlock, Philip E.",,"=""0691128715""","=""9780691128719""",0,4.01,Princeton University Press,Paperback,344,2006,2005,,2023/05/24,to-read,to-read (#437),to-read,,,,0,0
56283747,"The Ultimate History of Video Games, Volume 2: Nintendo, Sony, Microsoft, and the Billion-Dollar Battle to Shape Modern Gaming",Steven L. Kent,"Kent, Steven L.",,"=""1984825437""","=""9781984825438""",0,4.12,Crown,Paperback,592,2021,2021,,2023/05/24,to-read,to-read (#436),to-read,,,,0,0
68571,The Ultimate History of Video Games: From Pong to Pokemon - The Story Behind the Craze That Touched Our Lives and Changed the World,Steven L. Kent,"Kent, Steven L.",,"=""0761536434""","=""9780761536437""",0,4.13,Crown,Paperback,608,2001,2001,,2023/05/24,to-read,to-read (#435),to-read,,,,0,0
40819475,Van Gogh: The Life,Steven Naifeh,"Naifeh, Steven",Gregory White Smith,"=""""","=""""",0,4.15,Random House,Kindle Edition,976,2011,2011,,2023/05/23,to-read,to-read (#434),to-read,,,,0,0
35218887,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,"Rowling, J.K.",Stephen Fry,"=""""","=""""",0,4.50,Pottermore,Audiobook,30,2015,2003,,2023/05/22,currently-reading,currently-reading (#6),currently-reading,,,,1,0
43618475,Easy Peasy Puppy Squeezy,Steve Mann,"Mann, Steve",,"=""""","=""""",0,4.45,Blink Publishing,Kindle Edition,264,2019,2019,,2023/05/19,to-read,to-read (#433),to-read,,,,0,0
868111,Tycho and Kepler: The Unlikely Partnership That Forever Changed Our Understanding of the Heavens,Kitty Ferguson,"Ferguson, Kitty",,"=""0802776884""","=""9780802776884""",0,4.11,Walker Books,Paperback,352,2004,2002,,2023/05/19,to-read,to-read (#432),to-read,,,,0,0
55783418,The Science of Learning: 99 Studies That Every Teacher Needs to Know,Bradley Busch,"Busch, Bradley",Edward Watson,"=""1000371670""","=""9781000371673""",0,4.33,Routledge,ebook,250,2021,,,2023/05/19,to-read,to-read (#431),to-read,,,,0,0
471548,The Science of Parenting,Margot Sunderland,"Sunderland, Margot",ألبير مطلق,"=""0756618800""","=""9780756618803""",0,4.06,DK,Hardcover,288,2006,2006,,2023/05/19,to-read,to-read (#430),to-read,,,,0,0
429138,"River God (Ancient Egypt, #1)",Wilbur Smith,"Smith, Wilbur",,"=""0312954468""","=""9780312954468""",4,4.21,St. Martin's Paperbacks,Mass Market Paperback,664,1995,1993,2023/05/16,2021/11/07,,,read,,,,1,0
59539707,A Pipeline Runs Through It: The Story of Oil from Ancient Times to the First World War,Keith Fisher,"Fisher, Keith",,"=""0241558220""","=""9780241558225""",0,3.55,Allen Lane,Hardcover,944,2022,,,2023/05/07,to-read,to-read (#429),to-read,,,,0,0
31795,The Story of Philosophy: The Lives and Opinions of the World's Greatest Philosophers,Will Durant,"Durant, Will",,"=""0671739166""","=""9780671739164""",0,4.14,Pocket Books,Paperback,704,1991,1926,,2023/05/06,to-read,to-read (#428),to-read,,,,0,0
